Country,ISO2,ISO3,Indicator,Technology,Energy Type,Unit,Source,CTS Name,CTS Code,CTS Full Descriptor,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Brazil,BR,BRA,Electricity Generation,Bioenergy,Total Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",7855.363,8990.407,10226.147,11894.463,12475.057,13643.077,14845.658,18063.445,19786.257,22875.871,31942.376,32629.041,35765.668,40971.847,47079.182,49880.322,51344.161,52921.566,54396.162,54951.736,58791.186,55801.329,
Brazil,BR,BRA,Electricity Installed Capacity,Bioenergy,Total Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",2657.146,2661.447,2670.049,2695.856,3124.0,3339.32,3701.32,4103.32,5054.32,5717.32,7927.32,9028.67,9922.67,11601.67,12342.827,13311.612,14187.001,14573.556,14818.79,15358.135,15685.9,16351.309,17205.67
Brazil,BR,BRA,Electricity Generation,Fossil fuels,Total Non-Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",27563.1,34043.059,31945.878,29845.175,38636.809,37351.86,37843.138,35566.134,54861.279,34564.156,60400.071,46966.81,75026.339,110346.288,134859.199,127619.707,89128.695,98661.508,82596.7,94114.524,84886.0,126455.0,
Brazil,BR,BRA,Electricity Installed Capacity,Fossil fuels,Total Non-Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",7965.853,7819.552,11142.95,13434.145,16432.0,16432.0,16670.0,17126.0,17945.0,17633.0,21761.0,22214.0,22855.0,24927.0,25486.0,26159.1,26871.0,27324.653,25501.652,26851.104,28683.015,30078.687,30420.394
Brazil,BR,BRA,Electricity Generation,Hydropower (excl. Pumped Storage),Total Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",304403.276,267876.0,286092.2,305616.0,320796.907,337456.773,348805.46,374015.122,369556.4,390988.065,403289.813,428332.92,415342.175,390992.014,373439.06,359742.808,380910.942,370906.456,388971.076,397877.057,396382.0,362818.451,
Brazil,BR,BRA,Electricity Installed Capacity,Hydropower (excl. Pumped Storage),Total Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",61063.0,62409.0,64473.0,67697.5,69087.2,71060.2,73678.0,76869.0,77545.0,78610.0,80703.0,82457.0,84294.0,86019.0,89193.825,91650.834,96930.46,100332.81,104482.222,109143.048,109318.356,109426.25,109814.174
Brazil,BR,BRA,Electricity Generation,Marine energy,Total Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",,,,,,,,,,,,,0.088,0.088,0.11,0.088,0.044,0.044,0.044,0.044,0.044,0.044,
Brazil,BR,BRA,Electricity Installed Capacity,Marine energy,Total Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",,,,,,,,,,,,,0.1,0.1,0.15,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Brazil,BR,BRA,Electricity Generation,Nuclear,Total Non-Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",6046.0,14279.0,13836.0,13358.0,11611.0,9855.0,13754.1,12349.76,13968.58,12957.0,14523.156,15659.376,16038.4,15449.69,15378.462,14734.153,15864.344,15739.196,15673.887,16128.824,14053.0,14705.0,
Brazil,BR,BRA,Electricity Installed Capacity,Nuclear,Total Non-Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",1966.0,1966.0,2007.0,2007.0,2007.0,2007.0,2007.0,2007.0,2007.0,2007.0,2007.0,1990.0,1990.0,1990.0,1990.0,1990.0,1990.0,1990.0,1990.0,1990.0,1990.0,1990.0,1990.0
Brazil,BR,BRA,Electricity Generation,Other non-renewable energy,Total Non-Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",3052.2,3296.0,3517.6,3565.2,3871.643,4683.172,3963.98,4491.684,3816.06,3535.03,3466.272,5465.581,5274.1,6491.612,7559.88,7566.347,8085.497,7902.99,7836.014,7635.645,6902.0,7369.0,
Brazil,BR,BRA,Electricity Installed Capacity,Other non-renewable energy,Total Non-Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",,,,,,,,,,,,,,,,,,,152.95,165.97,165.97,165.97,165.97
Brazil,BR,BRA,Electricity Generation,Solar energy,Total Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",,,,,,,,,,,,,1.813,5.087,16.662,64.477,88.081,836.814,3471.739,6664.991,10758.396,16760.829,
Brazil,BR,BRA,Electricity Installed Capacity,Solar energy,Total Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",,0.036,0.036,0.716,0.718,0.718,0.718,0.718,0.764,0.814,0.854,6.097,6.608,12.528,20.697,45.567,127.789,1206.787,2435.022,4634.943,8290.503,14197.052,24078.856
Brazil,BR,BRA,Electricity Generation,Wind energy,Total Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",1.0,35.0,61.0,61.0,61.0,92.9,237.0,662.782,1183.0,1238.0,2177.0,2704.5,5050.046,6578.41,12210.252,21625.702,33488.872,42373.258,48475.141,55985.622,57050.0,72285.975,
Brazil,BR,BRA,Electricity Installed Capacity,Wind energy,Total Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",22.0,24.0,22.0,24.0,24.0,29.0,237.0,247.0,398.0,602.0,927.0,1426.0,1894.0,2202.02,4888.053,7633.115,10129.155,12304.272,14843.094,15438.379,17198.324,21161.27,24163.128
