Country,ISO2,ISO3,Indicator,Unit,Source,CTS Code,CTS Name,CTS Full Descriptor,Climate Influence,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Cambodia,KH,KHM,Climate Altering Land Cover Index,Index,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCA,Climate Altering Land Cover Index,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Climate Altering Land Cover Index",Climate altering,85.3720645598956,85.3828843242882,85.25975375137399,86.9930442660927,87.3649447581321,88.23514811621769,89.04477102054621,90.3288773630807,91.3951430364427,92.6972616499774,93.9772090510947,95.1284697847743,96.61908505703849,97.45587942535201,97.94545234370909,98.12241844682539,98.7364452452486,99.08962597421629,99.5600606885632,100.103844292605,99.7703766728366,99.8407031174967,99.86668473012979,100.0,99.812864112373,99.6776957178317,99.6964268471612,99.6670950806951,99.60184515694931
Cambodia,KH,KHM,Artificial surfaces (including urban and associated areas),1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCS,Artificial Surfaces (Including Urban and Associated Areas),"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Artificial Surfaces (Including Urban and Associated Areas)",Climate altering,4.9351,5.0165,5.2025,5.3129,5.4292,5.6036,5.7256,5.871,6.0105,6.1674,6.3825,6.6499,6.9405,7.2835,7.8357,8.5042,9.0854,9.6725,10.3178,11.1781,12.9393,19.0021,22.2166,23.629099999999998,23.629099999999998,26.3263,28.122400000000003,28.5235,28.546799999999998
Cambodia,KH,KHM,Grassland,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCG,Grassland,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Grassland",Climate regulating,1015.1715,1015.1766,1015.1896999999999,1041.1874,1048.3089,1061.3618000000001,1081.4955,1109.552,1133.2765,1160.956,1181.1552,1185.2362,1201.1698999999999,1213.876,1221.2896,1226.2046,1236.4933,1241.9023,1247.6372,1258.3789,1264.8021,1278.3859,1282.2766000000001,1282.3654,1283.6193999999998,1281.3908000000001,1282.6188,1285.0331,1285.0284
Cambodia,KH,KHM,Herbaceous crops,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCH,Herbaceous Crops,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Herbaceous Crops",Climate altering,5775.558099999999,5776.2092999999995,5767.6862,5884.9359,5910.0008,5968.7474,6023.4445,6110.2452,6182.3019,6270.3107,6356.7600999999995,6434.4439,6535.082,6591.3979,6623.9944000000005,6635.308099999999,6676.302299999999,6699.628900000001,6730.8365,6766.7954,6742.4553,6741.1543,6739.699,6747.3132000000005,6734.6422999999995,6722.793,6722.2651,6719.878,6715.6142
Cambodia,KH,KHM,Inland water bodies,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCW,Inland Water Bodies,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Inland Water Bodies",Climate regulating,408.5408,408.5408,408.5331,407.727,408.3006,408.8509,408.8509,408.8896,409.3004,409.3004,409.0601,409.08340000000004,408.9904,408.97490000000005,409.0059,408.85859999999997,408.8199,408.77340000000004,408.68809999999996,409.5794,409.58709999999996,409.6104,412.5788,412.5788,412.63309999999996,413.33840000000004,422.7629,433.6057,433.7452
Cambodia,KH,KHM,Mangroves,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCM,Mangroves,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Mangroves",Climate regulating,42.8056,42.8056,42.8056,43.1544,43.0459,42.9839,42.9762,43.0847,43.1544,42.8831,42.751400000000004,42.7436,42.6661,42.6196,42.5499,42.5809,42.5964,42.456900000000005,42.4414,42.270900000000005,42.2631,42.3251,42.1469,42.1391,42.3174,42.4879,42.5266,42.6584,42.6661
Cambodia,KH,KHM,Permanent snow and glaciers,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCL,Permanent Snow and Glaciers,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Permanent Snow and Glaciers",Climate regulating,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cambodia,KH,KHM,Shrub-covered areas,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCC,Shrub-Covered Areas,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Shrub-Covered Areas",Climate regulating,1471.6639,1471.6635,1471.6635,1525.2934,1537.367,1569.102,1624.2781,1680.5213999999999,1714.5321999999999,1739.7576000000001,1745.6781,1703.1395,1663.3542,1641.3352,1631.353,1629.2081,1618.6236999999999,1622.4846,1624.1568,1637.7123000000001,1640.95,1661.9626,1671.7595,1671.7518,1684.7985,1685.6968,1695.9498,1706.5973999999999,1707.8456
Cambodia,KH,KHM,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCV,Shrubs and/or Herbaceous Vegetation and Aquatic Or Regularly Flooded,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Shrubs and/or Herbaceous Vegetation and Aquatic Or Regularly Flooded",Climate regulating,475.72929999999997,475.72929999999997,475.72929999999997,476.3261,476.34159999999997,477.822,483.255,499.2674,542.1428000000001,551.5595999999999,563.5495,570.3699,608.1765,620.0734,629.8545,641.1468000000001,647.2929,648.13,660.3059000000001,667.0875,667.1573000000001,667.4363000000001,667.3356,667.3356,660.9802,660.6857,661.5227,660.8484,660.5772
Cambodia,KH,KHM,Sparsely natural vegetated areas,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCN,Sparsely Natural Vegetated Areas,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Sparsely Natural Vegetated Areas",Climate neutral,0.279,0.279,0.279,0.279,0.279,0.279,0.279,0.279,0.279,0.279,0.279,0.279,0.279,0.2868,0.2713,0.279,0.279,0.279,0.279,0.279,0.2558,0.2558,0.2558,0.2558,0.4185,0.403,0.3643,0.3643,0.3565
Cambodia,KH,KHM,Terrestrial barren land,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCT,Terrestrial Barren Land,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Terrestrial Barren Land",Climate neutral,1.8214000000000001,1.8214000000000001,1.8214000000000001,1.7904,1.7904,1.7904,1.8059,1.8059,1.8059,1.8059,1.8059,1.8059,1.8059,1.8369000000000002,1.8369000000000002,1.9065999999999999,1.9065999999999999,1.9919,2.2244,2.2244,2.2244,2.2244,2.1159,2.1159,2.2631,2.2476,2.2089000000000003,2.2321,2.2554000000000003
Cambodia,KH,KHM,Tree-covered areas,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCE,Tree-Covered Areas,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Tree-Covered Areas",Climate regulating,8876.6658,8876.6813,8876.7107,8675.811800000001,8614.1691,8506.427599999999,8368.936099999999,8161.9666,7985.9527,7832.4065,7687.552900000001,7638.0741,7519.280900000001,7447.0895,7407.1984,7380.718599999999,7331.5987000000005,7296.701599999999,7251.2469,7181.1612000000005,7148.5521,7090.1332,7072.178900000001,7072.445900000001,7077.25,7087.763099999999,7064.8168,7043.5345,7047.3295
Cambodia,KH,KHM,Woody crops,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCR,Woody Crops,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Woody Crops",Climate regulating,179.5106,178.75779999999997,187.0601,190.8628,207.64870000000002,209.7127,211.6345,231.1985,233.9249,237.255,257.7065,260.8558,264.9358,277.9076,277.49170000000004,277.9656,279.6829,280.6601,274.5473,276.014,321.4946,340.19109999999995,340.1176,330.75059999999996,330.1295,329.5487,329.52279999999996,329.4058,329.1968
